provinsi,gini_index,tahun
BENGKULU,0.334,2020
LAMPUNG,0.327,2020
KEP. BANGKA BELITUNG,0.262,2020
KEP. RIAU,0.339,2020
DKI JAKARTA,0.399,2020
JAWA BARAT,0.403,2020
JAWA TENGAH,0.362,2020
DI YOGYAKARTA,0.434,2020
JAWA TIMUR,0.366,2020
BANTEN,0.363,2020
BALI,0.369,2020
NUSA TENGGARA BARAT,0.376,2020
NUSA TENGGARA TIMUR,0.354,2020
KALIMANTAN BARAT,0.317,2020
KALIMANTAN TENGAH,0.329,2020
KALIMANTAN SELATAN,0.332,2020
KALIMANTAN TIMUR,0.328,2020
KALIMANTAN UTARA,0.292,2020
SULAWESI UTARA,0.37,2020
SULAWESI TENGAH,0.326,2020
SULAWESI SELATAN,0.389,2020
SULAWESI TENGGARA,0.389,2020
GORONTALO,0.408,2020
SULAWESI BARAT,0.364,2020
MALUKU,0.318,2020
MALUKU UTARA,0.308,2020
PAPUA BARAT,0.382,2020
PAPUA BARAT DAYA,-,2020
PAPUA,0.392,2020
PAPUA SELATAN,-,2020
PAPUA TENGAH,-,2020
PAPUA PEGUNUNGAN,-,2020
INDONESIA,0.381,2020
ACEH,0.324,2021
SUMATERA UTARA,0.314,2021
SUMATERA BARAT,0.306,2021
RIAU,0.326,2021
JAMBI,0.321,2021
SUMATERA SELATAN,0.341,2021
BENGKULU,0.326,2021
LAMPUNG,0.323,2021
KEP. BANGKA BELITUNG,0.256,2021
KEP. RIAU,0.343,2021
DKI JAKARTA,0.409,2021
JAWA BARAT,0.412,2021
JAWA TENGAH,0.372,2021
DI YOGYAKARTA,0.441,2021
JAWA TIMUR,0.374,2021
BANTEN,0.365,2021
BALI,0.378,2021
NUSA TENGGARA BARAT,0.381,2021
NUSA TENGGARA TIMUR,0.346,2021
KALIMANTAN BARAT,0.313,2021
KALIMANTAN TENGAH,0.323,2021
KALIMANTAN SELATAN,0.33,2021
KALIMANTAN TIMUR,0.334,2021
KALIMANTAN UTARA,0.292,2021
SULAWESI UTARA,0.365,2021
SULAWESI TENGAH,0.316,2021
SULAWESI SELATAN,0.382,2021
SULAWESI TENGGARA,0.39,2021
GORONTALO,0.408,2021
SULAWESI BARAT,0.356,2021
MALUKU,0.314,2021
MALUKU UTARA,0.3,2021
PAPUA BARAT,0.38,2021
PAPUA BARAT DAYA,-,2021
PAPUA,0.397,2021
PAPUA SELATAN,-,2021
PAPUA TENGAH,-,2021
PAPUA PEGUNUNGAN,-,2021
INDONESIA,0.384,2021
ACEH,0.311,2022
SUMATERA UTARA,0.312,2022
SUMATERA BARAT,0.3,2022
RIAU,0.326,2022
JAMBI,0.32,2022
SUMATERA SELATAN,0.339,2022
BENGKULU,0.315,2022
LAMPUNG,0.314,2022
KEP. BANGKA BELITUNG,0.236,2022
KEP. RIAU,0.342,2022
DKI JAKARTA,0.423,2022
JAWA BARAT,0.417,2022
JAWA TENGAH,0.374,2022
DI YOGYAKARTA,0.439,2022
JAWA TIMUR,0.371,2022
BANTEN,0.363,2022
BALI,0.363,2022
NUSA TENGGARA BARAT,0.373,2022
NUSA TENGGARA TIMUR,0.334,2022
KALIMANTAN BARAT,0.314,2022
KALIMANTAN TENGAH,0.319,2022
KALIMANTAN SELATAN,0.317,2022
KALIMANTAN TIMUR,0.327,2022
KALIMANTAN UTARA,0.272,2022
SULAWESI UTARA,0.365,2022
SULAWESI TENGAH,0.308,2022
SULAWESI SELATAN,0.377,2022
SULAWESI TENGGARA,0.387,2022
GORONTALO,0.418,2022
SULAWESI BARAT,0.362,2022
MALUKU,0.301,2022
MALUKU UTARA,0.279,2022
PAPUA BARAT,0.37,2022
PAPUA BARAT DAYA,-,2022
PAPUA,0.406,2022
PAPUA SELATAN,-,2022
PAPUA TENGAH,-,2022
PAPUA PEGUNUNGAN,-,2022
INDONESIA,0.384,2022
ACEH,0.296,2023
SUMATERA UTARA,0.309,2023
SUMATERA BARAT,0.28,2023
RIAU,0.324,2023
JAMBI,0.343,2023
SUMATERA SELATAN,0.338,2023
BENGKULU,0.333,2023
LAMPUNG,0.324,2023
KEP. BANGKA BELITUNG,0.245,2023
KEP. RIAU,0.34,2023
DKI JAKARTA,0.431,2023
JAWA BARAT,0.425,2023
JAWA TENGAH,0.369,2023
DI YOGYAKARTA,0.449,2023
JAWA TIMUR,0.387,2023
BANTEN,0.368,2023
BALI,0.362,2023
NUSA TENGGARA BARAT,0.375,2023
NUSA TENGGARA TIMUR,0.325,2023
KALIMANTAN BARAT,0.321,2023
KALIMANTAN TENGAH,0.317,2023
KALIMANTAN SELATAN,0.313,2023
KALIMANTAN TIMUR,0.322,2023
KALIMANTAN UTARA,0.277,2023
SULAWESI UTARA,0.37,2023
SULAWESI TENGAH,0.304,2023
SULAWESI SELATAN,0.377,2023
SULAWESI TENGGARA,0.371,2023
GORONTALO,0.417,2023
SULAWESI BARAT,0.351,2023
MALUKU,0.288,2023
MALUKU UTARA,0.3,2023
PAPUA BARAT,0.37,2023
PAPUA BARAT DAYA,-,2023
PAPUA,0.386,2023
PAPUA SELATAN,-,2023
PAPUA TENGAH,-,2023
PAPUA PEGUNUNGAN,-,2023
INDONESIA,0.388,2023
ACEH,0.294,2024
SUMATERA UTARA,0.297,2024
SUMATERA BARAT,0.283,2024
RIAU,0.307,2024
JAMBI,0.321,2024
SUMATERA SELATAN,0.333,2024
BENGKULU,0.342,2024
LAMPUNG,0.302,2024
KEP. BANGKA BELITUNG,0.244,2024
KEP. RIAU,0.349,2024
DKI JAKARTA,0.423,2024
JAWA BARAT,0.421,2024
JAWA TENGAH,0.367,2024
DI YOGYAKARTA,0.435,2024
JAWA TIMUR,0.372,2024
BANTEN,0.353,2024
BALI,0.361,2024
NUSA TENGGARA BARAT,0.361,2024
NUSA TENGGARA TIMUR,0.316,2024
KALIMANTAN BARAT,0.31,2024
KALIMANTAN TENGAH,0.301,2024
KALIMANTAN SELATAN,0.302,2024
KALIMANTAN TIMUR,0.321,2024
KALIMANTAN UTARA,0.264,2024
SULAWESI UTARA,0.36,2024
SULAWESI TENGAH,0.301,2024
SULAWESI SELATAN,0.363,2024
SULAWESI TENGGARA,0.37,2024
GORONTALO,0.414,2024
SULAWESI BARAT,0.354,2024
MALUKU,0.282,2024
MALUKU UTARA,0.316,2024
PAPUA BARAT,0.389,2024
PAPUA BARAT DAYA,0.346,2024
PAPUA,0.362,2024
PAPUA SELATAN,0.404,2024
PAPUA TENGAH,0.381,2024
PAPUA PEGUNUNGAN,0.34,2024
INDONESIA,0.379,2024
ACEH,0.282,2025
SUMATERA UTARA,0.295,2025
SUMATERA BARAT,0.282,2025
RIAU,0.307,2025
JAMBI,0.301,2025
SUMATERA SELATAN,0.311,2025
BENGKULU,0.349,2025
LAMPUNG,0.292,2025
KEP. BANGKA BELITUNG,0.222,2025
KEP. RIAU,0.382,2025
DKI JAKARTA,0.441,2025
JAWA BARAT,0.416,2025
JAWA TENGAH,0.359,2025
DI YOGYAKARTA,0.426,2025
JAWA TIMUR,0.369,2025
BANTEN,0.33,2025
BALI,0.353,2025
NUSA TENGGARA BARAT,0.369,2025
NUSA TENGGARA TIMUR,0.315,2025
KALIMANTAN BARAT,0.316,2025
KALIMANTAN TENGAH,0.292,2025
KALIMANTAN SELATAN,0.287,2025
KALIMANTAN TIMUR,0.312,2025
KALIMANTAN UTARA,0.261,2025
SULAWESI UTARA,0.343,2025
SULAWESI TENGAH,0.279,2025
SULAWESI SELATAN,0.363,2025
SULAWESI TENGGARA,0.363,2025
